id,query,status,us_demand,us_demand_source,retrieval_date,current_us_desktop_position,desktop_rank_source,current_us_mobile_position,mobile_rank_source,current_landing_url,google_selected_canonical,commercial_relevance,target_landing_page,cannibalization_conflicts,notes
11,iPhone 15 Pro Max back glass assembly,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Model/configuration purchase (hypothesis; not validated by demand or conversion data),iPhone 15 model hub (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — model hub missing
12,iPhone 16 Pro Max rear assembly,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Model/configuration purchase (hypothesis; not validated by demand or conversion data),iPhone 16 model hub (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — model hub missing
13,iPhone 14 half assembly no coil,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Exact configuration (hypothesis; not validated by demand or conversion data),iPhone 14 model hub plus product (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — products public; hub missing
14,iPhone 15 Pro half assembly without charging coil,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Exact configuration (hypothesis; not validated by demand or conversion data),iPhone 15 model hub plus product (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — products public; hub missing
15,iPhone 16 half assembly no coil,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Exact configuration (hypothesis; not validated by demand or conversion data),iPhone 16 model hub plus product (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — products public; hub missing
16,iPhone 16 Pro Max half assembly no coil,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Exact configuration (hypothesis; not validated by demand or conversion data),iPhone 16 model hub plus product (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — product public; hub missing
17,iPhone back glass large camera hole wholesale,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Configuration purchase (hypothesis; not validated by demand or conversion data),Glass Only hub (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — products public; intent unmeasured
18,iPhone back glass by model and color wholesale,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Catalog navigation (hypothesis; not validated by demand or conversion data),Glass Only hub or Quick Order (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS
19,Premium vs A Grade iPhone back glass,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Evaluation (hypothesis; not validated by demand or conversion data),Grade Standards guide (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — grade definitions blocked
20,iPhone back glass assembly with or without charging coil,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Evaluation (hypothesis; not validated by demand or conversion data),Assembly & Coil guide (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — product-owner definitions blocked
21,what comes with an iPhone half assembly,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Fitment/included parts (hypothesis; not validated by demand or conversion data),Assembly & Coil guide (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — verified components blocked
22,best iPhone back glass supplier for repair shops,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Supplier selection (hypothesis; not validated by demand or conversion data),Earned third-party evidence; not a self-ranked listicle (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS
23,bulk order iPhone back glass by SKU,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Transactional workflow (hypothesis; not validated by demand or conversion data),Quick Order (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS
24,iPhone back glass same-day shipping USA,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Urgent purchase (hypothesis; not validated by demand or conversion data),Shipping page or homepage (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — shipment evidence blocked
